"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"ch.qos.logback:logback-classic:1.5.32","http://www.qos.ch","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"ch.qos.logback:logback-classic:1.5.34","http://www.qos.ch","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"ch.qos.logback:logback-core:1.5.32","http://www.qos.ch","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"ch.qos.logback:logback-core:1.5.34","http://www.qos.ch","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"com.fasterxml.jackson.core:jackson-annotations:2.21","https://github.com/FasterXML/jackson","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.github.virtuald:curvesapi:1.08","https://github.com/virtuald/curvesapi","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"com.healthmarketscience.jackcess:jackcess:4.0.7","https://openhms.sourceforge.io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.zaxxer:SparseBitSet:1.3","https://github.com/brettwooldridge/SparseBitSet","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-codec:commons-codec:1.17.0","https://commons.apache.org/proper/commons-codec/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-io:commons-io:2.22.0","https://commons.apache.org/proper/commons-io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-logging:commons-logging:1.3.6","https://commons.apache.org/proper/commons-logging/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"commons-logging:commons-logging:1.4.0","https://commons.apache.org/proper/commons-logging/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-commons:1.17.0","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"io.micrometer:micrometer-observation:1.17.0","https://github.com/micrometer-metrics/micrometer","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"jakarta.annotation:jakarta.annotation-api:3.0.0","https://www.eclipse.org","GNU GENERAL PUBLIC LICENSE, Version 2 + Classpath Exception","https://openjdk.java.net/legal/gplv2+ce.html",
"net.java.dev.jna:jna:5.15.0","https://github.com/java-native-access/jna","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"net.java.dev.jna:jna-platform:5.15.0","https://github.com/java-native-access/jna","GNU LESSER GENERAL PUBLIC LICENSE, Version 2.1","https://www.gnu.org/licenses/lgpl-2.1",
"org.apache.commons:commons-collections4:4.4","https://commons.apache.org/proper/commons-collections/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.commons:commons-compress:1.26.2","https://commons.apache.org/proper/commons-compress/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.commons:commons-lang3:3.16.0","https://commons.apache.org/proper/commons-lang/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.commons:commons-math3:3.6.1","http://commons.apache.org/proper/commons-math/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-api:2.23.1",,"Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-api:2.25.4","https://logging.apache.org/log4j/2.x/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.logging.log4j:log4j-to-slf4j:2.25.4","https://logging.apache.org/log4j/2.x/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.poi:poi:5.3.0","https://poi.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.poi:poi-ooxml:5.3.0","https://poi.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.poi:poi-ooxml-lite:5.3.0","https://poi.apache.org/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"org.apache.tomcat.embed:tomcat-embed-core:11.0.22","https://tomcat.apache.org/","Eclipse Public License - v 2.0","https://www.eclipse.org/org/documents/epl-2.0/EPL-2.0.txt",
